Source,Target,Weight
ตลิ่งชัน,พระประแดง,1.0000000000000004
คันนายาว,เมืองสมุทรปราการ,1.0000000000000002
จตุจักร,เมืองสมุทรปราการ,1.0000000000000002
บางคอแหลม,บางพลี,1.0000000000000002
จตุจักร,บางกรวย,1.0000000000000002
บางรัก,เมืองสมุทรปราการ,1.0000000000000002
ประเวศ,พระประแดง,1.0000000000000002
ปากเกร็ด,สวนหลวง,1.0000000000000002
บางกอกใหญ่,พระประแดง,1.0
พระประแดง,วัฒนา,1.0
บางพลี,ราชเทวี,1.0
บางกรวย,วัฒนา,1.0
บางแค,เมืองสมุทรปราการ,1.0
ธนบุรี,เมืองสมุทรปราการ,1.0
พระประแดง,ลาดพร้าว,1.0
หลักสี่,เมืองสมุทรปราการ,0.9999999999999998
บางพลี,พญาไท,0.9999999999999994
บึงกุ่ม,มีนบุรี,0.9856134672293038
บางนา,สวนหลวง,0.9800435949591941
ดินแดง,บางขุนเทียน,0.9710904287169356
สวนหลวง,ห้วยขวาง,0.9683832143535096
จอมทอง,บางพลัด,0.9676578534606041
คันนายาว,วังทองหลาง,0.9648089481775561
ทุ่งครุ,สะพานสูง,0.9632138504798256
บางพลัด,ประเวศ,0.962194249080435
บางซื่อ,ยานนาวา,0.9589229523387987
บางกะปิ,วังทองหลาง,0.9579787809637372
ดอนเมือง,หลักสี่,0.9570807414143403
บางเขน,วัฒนา,0.9568976752577241
พระโขนง,สาทร,0.956746615067192
บางพลัด,ปทุมวัน,0.9543183450027103
คลองสามวา,บางพลัด,0.9540669965020705
ดอนเมือง,บางนา,0.953949752545094
บางบอน,บางรัก,0.9531011564041394
บางซื่อ,บางนา,0.9527601773991092
บางกรวย,ราษฎร์บูรณะ,0.9526176865080672
จอมทอง,บางนา,0.9521337750590926
ภาษีเจริญ,ยานนาวา,0.9510084196636213
บางซื่อ,วัฒนา,0.9492647289824189
บางรัก,ราชเทวี,0.9489182672531742
บางกอกน้อย,บางนา,0.9487194408528032
บางนา,ภาษีเจริญ,0.9480743472042844
ภาษีเจริญ,หลักสี่,0.9475475721205076
บางรัก,พระโขนง,0.9464958166379376
พระโขนง,ลาดพร้าว,0.9450517662706561
ทุ่งครุ,วังทองหลาง,0.9442901440805007
บางรัก,ลาดกระบัง,0.9433618052649236
