date,tickets,prediction
2023-08-20,539,558.7639121579351
2023-08-21,638,575.0742415831697
2023-08-22,584,614.6228244572344
2023-08-23,545,607.8326481371981
2023-08-24,556,571.9504962026526
2023-08-25,543,593.8009335151979
2023-08-26,562,565.6208673092101
2023-08-27,456,584.8027214818703
2023-08-28,542,489.30598771407057
2023-08-29,548,576.6405644039023
2023-08-30,557,603.7796118031155
2023-08-31,565,609.3189839038135
2023-09-01,507,633.8012712226522
2023-09-02,450,573.7907174311414
2023-09-03,458,507.7455123329739
2023-09-04,588,512.3031758533805
2023-09-05,602,627.0183715352407
2023-09-06,522,628.3654476291919
2023-09-07,526,580.1423798920682
2023-09-08,492,572.7195693580696
2023-09-09,419,559.8781953358939
2023-09-10,427,473.1693100879568
2023-09-11,513,478.84272197886196
2023-09-12,485,566.9289731613344
2023-09-13,492,566.3170415993129
2023-09-14,480,565.1056921607466
2023-09-15,558,565.44539870527
2023-09-16,586,587.392818628761
2023-09-17,562,590.2469567260681
2023-09-18,605,604.3342614078396
2023-09-19,555,605.8287484328572
2023-09-20,587,596.6797711995235
2023-09-21,659,598.1766521432262
2023-09-22,718,600.386873179014
2023-09-23,674,602.3548229348452
2023-09-24,638,603.7745395674152
2023-09-25,630,609.7196447363594
2023-09-26,695,607.5136828379636
2023-09-27,601,607.676526394381
2023-09-28,646,594.3899184880531
2023-09-29,554,597.0246081645636
2023-09-30,580,578.0075004657803
2023-10-01,662,519.5943960861928
2023-10-02,726,550.6849876332598
2023-10-03,730,531.3612899136173
2023-10-04,761,524.768380754458
2023-10-05,785,626.6410749513547
2023-10-06,721,607.0716144241903
2023-10-07,576,507.72712343818273
2023-10-08,527,488.03121941399667
2023-10-09,599,472.70467448425325
2023-10-10,609,504.8112516638451
2023-10-11,666,500.56226044597594
2023-10-12,732,502.1559443685277
2023-10-13,571,500.2322595756887
2023-10-14,540,484.0639513055187
2023-10-15,501,461.01603802440945
2023-10-16,661,460.11800242276644
2023-10-17,669,499.87984185045656
2023-10-18,619,497.7506826912974
2023-10-19,649,493.4866600414012
2023-10-20,577,489.0988877772551
2023-10-21,453,480.31429546497725
2023-10-22,586,393.5048632826311
2023-10-23,464,495.7972622624415
2023-10-24,640,445.6896485058717
2023-10-25,611,498.1892868226715
2023-10-26,532,490.2715877663957
2023-10-27,696,466.6062169641842
2023-10-28,553,495.28950928445045
2023-10-29,542,474.214033115711
2023-10-30,585,480.00374413044995
2023-10-31,720,503.41435026008423
2023-11-01,609,531.6995096055681
2023-11-02,633,483.2570993419113
2023-11-03,747,477.512676998725
2023-11-04,464,578.7470387275886
2023-11-05,529,425.01782360462727
2023-11-06,708,449.49261664310603
2023-11-07,575,501.46849657567776
2023-11-08,692,483.0945977414334
2023-11-09,645,495.1568586760296
2023-11-10,673,488.13207771019245
2023-11-11,655,487.12707734482063
2023-11-12,714,480.85419348988194
2023-11-13,677,493.5332719214732
2023-11-14,705,494.00767827423175
2023-11-15,734,491.87851911507255
2023-11-16,678,558.9158257237814
2023-11-17,566,482.2669353520681
2023-11-18,437,464.30627354654456
2023-11-19,598,355.17136230051017
2023-11-20,676,483.878022309765
2023-11-21,665,488.0440761660611
2023-11-22,635,487.1245403737222
2023-11-23,579,483.60236029985464
2023-11-24,553,476.29382472618227
2023-11-25,606,466.8048700145871
2023-11-26,582,466.7824690729036
2023-11-27,664,488.8710712269357
2023-11-28,618,489.55357198605793
2023-11-29,579,492.9404525791782
2023-11-30,571,489.41271163036413
2023-12-01,495,474.347947977237
2023-12-02,562,426.65126923856985
2023-12-03,508,447.38166879109383
2023-12-04,487,426.50801569050185
2023-12-05,406,431.4075977923479
2023-12-06,448,358.649066509691
2023-12-07,507,374.0940526117016
2023-12-08,488,426.13576767021334
2023-12-09,471,426.28241369311615
2023-12-10,490,424.1564190296943
2023-12-11,410,437.6756727950423
2023-12-12,485,341.1428375830556
2023-12-13,527,436.99169127985056
2023-12-14,681,452.3138532098326
2023-12-15,600,477.0940939200251
2023-12-16,502,463.75596461672393
2023-12-17,606,422.72848205876414
2023-12-18,431,472.56944553610464
2023-12-19,514,342.7500601159884
2023-12-20,499,427.736846223329
2023-12-21,498,423.9540874737436
2023-12-22,500,423.34119469556356
2023-12-23,455,419.4769255342967
2023-12-24,447,357.81217985186106
2023-12-25,466,364.46274006029887
2023-12-26,471,420.097172793458
2023-12-27,413,418.68980507814905
2023-12-28,397,335.88902104665084
2023-12-29,317,326.3202139887587
2023-12-30,292,311.94853057144036
2023-12-31,233,302.9120892720737
